963	ZC3H4	23211
964	CLK2	1196
965	RRS1	23212
966	LETMD1	25875
967	CLK1	1195
968	SULF1	23213
969	MPC2	25874
970	XPO6	23214
971	CLIC2	1193
972	PRRC2C	23215
973	SPEF1	25876
974	CLIC1	1192
975	TBC1D1	23216
976	DCAF13	25879
977	CLU	1191
978	ZFR2	23217
979	MXRA5	25878
980	ARID5B	84159
981	NEPRO	25871
982	CLCNKB	1188
983	SUMF2	25870
984	TRUB1	142940
985	POLG2	11232
986	SEC63	11231
987	RPF2	84154
988	HPS5	11234
989	MKX	283078
990	RNF139	11236
991	PDCD10	11235
992	CA5B	11238
993	RNASEH2C	84153
994	PSKH2	85481
995	RNF24	11237
996	PPP1R1B	84152
997	SGMS2	166929
998	ANAPC13	25847
999	MINDY4	84182
1000	PARM1	25849
1001	CHD6	84181
1002	ZNF831	128611
1003	METTL7A	25840
1004	ASF1A	25842
1005	ABTB2	25841
1006	YIPF3	25844
1007	MOB4	25843
1008	FAR1	84188
1009	TMEM164	84187
1010	C20orf85	128602
1011	POLI	11201
1012	CHEK2	11200
1013	SLITRK6	84189
1014	KLK8	11202
1015	ZCCHC7	84186
1016	CATSPERZ	25858
1017	LOXL4	84171
1018	ZNF844	284391
1019	ZNF763	284390
1020	TECPR1	25851
1021	ZNF345	25850
1022	DCAF12	25853
1023	ARMC8	25852
1024	BRMS1	25855
1025	FAM149A	25854
1026	CTRB2	440387
1027	DDX20	11218
1028	AKAP2	11217
1029	TREX2	11219
1030	HDX	139324
1031	PLPBP	11212
1032	MFSD7	84179
1033	APOOL	139322
1034	FZD10	11211
1035	AKAP13	11214
1036	ELMOD3	84173
1037	IRAK3	11213
1038	POLR1B	84172
1039	AKAP10	11216
1040	AKAP11	11215
1041	SLA2	84174
1042	OR2Z1	284383
1043	BACE2	25825
1044	TXN2	25828
1045	FBXL2	25827
1046	PROKR2	128674
1047	TMEM184B	25829
1048	OR4Q3	441669
1049	ZIM3	114026
1050	OSCAR	126014
1051	ARIH1	25820
1052	SMIM22	440335
1053	DMBX1	127343
1054	DNAJB5	25822
1055	MTO1	25821
1056	PRDX5	25824
1057	TPSG1	25823
1058	GBP4	115361
1059	OR4M1	441670
1060	GBP5	115362
1061	MTERF4	130916
1062	TOE1	114034
1063	PCP2	126006
1064	TBC1D3B	414059
1065	LOC100128697	100128697
1066	RAB26	25837
1067	FAM96A	84191
1068	NIPBL	25836
1069	METTL25	84190
1070	COG4	25839
1071	SETD3	84193
1072	TRAPPC5	126003
1073	HECTD1	25831
1074	SULT4A1	25830
1075	POU2F3	25833
1076	NBPF14	25832
1077	MGAT4C	25834
1078	FSBP	100861412
1079	FCRL1	115350
1080	DNAJB3	414061
1081	FCRL3	115352
1082	CCL3L3	414062
1083	LRRC42	115353
1084	TBC1D3C	414060
1085	POMK	84197
1086	USP48	84196
1087	LSM4	25804
1088	SPDEF	25803
1089	VAX2	25806
1090	BAMBI	25805
1091	FAM237A	200726
1092	RHBDD3	25807
1093	C20orf141	128653
1094	TMEM17	200728
1095	TTLL1	25809
1096	SLC39A6	25800
1097	LMOD1	25802
1098	GCA	25801
1099	C7orf66	154907
1100	LIPJ	142910
1101	SIRPD	128646
1102	ATXN10	25814
1103	FAM19A5	25817
1104	TNFAIP8	25816
1105	C7orf72	100130988
1106	NOCT	25819
1107	KLK5	25818
1108	CCDC148	130940
1109	LOC100128668	100128668
1110	NPIPB15	440348
1111	SPRED2	200734
1112	NPIPB4	440345
1113	SAMM50	25813
1114	GPR146	115330
1115	TBC1D20	128637
1116	WDR6	11180
1117	KCTD7	154881
1118	SLC2A6	11182
1119	TREH	11181
1120	MAP4K1	11184
1121	OR10AC1	392133
1122	MAP4K5	11183
1123	RASSF1	11186
1124	INMT	11185
1125	STAB1	23166
1126	EFR3A	23167
1127	RTF1	23168
1128	SLC35D1	23169
1129	RBM46	166863
1130	OR2A25	392138
1131	ISPD	729920
1132	CLEC4F	165530
1133	NKD2	85409
1134	TPRG1L	127262
1135	SAMD8	142891
1136	WDR43	23160
1137	ZIC5	85416
1138	SNX13	23161
1139	CCNB3	85417
1140	SLC25A26	115286
1141	MAPK8IP3	23162
1142	SLC45A3	85414
1143	GGA3	23163
1144	RHPN2	85415
1145	MPRIP	23164
1146	NUP205	23165
1147	SLC22A16	85413
1148	NISCH	11188
1149	PKP3	11187
1150	CELF3	11189
1151	NAT2	10
1152	SERPINA3	12
1153	CEP250	11190
1154	ZBTB34	403341
1155	GTF2H5	404672
1156	AADAC	13
1157	WBP4	11193
1158	AAMP	14
1159	C7orf77	154872
1160	AANAT	15
1161	AARS	16
1162	ABCB8	11194
1163	WIF1	11197
1164	ABAT	18
1165	SEC23IP	11196
1166	ABCA1	19
1167	CEP68	23177
1168	PASK	23178
1169	RGL1	23179
1170	LRRIQ3	127255
